epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,598.471,0.70255,0.55481,0.98924,0.74884,0.81671,0.77585,0.59805,0.76666,0.58553,1.12192,0.0005941,0.0005941,0.0005941
43,613.982,0.68663,0.53848,0.98003,0.70409,0.79884,0.76285,0.59376,0.746,0.59159,1.09516,0.0005842,0.0005842,0.0005842
44,627.128,0.69329,0.53899,0.98007,0.72561,0.83151,0.77394,0.59181,0.75596,0.56293,1.12129,0.0005743,0.0005743,0.0005743
45,640.126,0.65994,0.51572,0.95809,0.75721,0.80645,0.7692,0.59559,0.73672,0.5719,1.10183,0.0005644,0.0005644,0.0005644
46,653.322,0.65796,0.50884,0.95667,0.77158,0.81944,0.78897,0.61001,0.73475,0.56961,1.08976,0.0005545,0.0005545,0.0005545
47,666.681,0.66491,0.51118,0.95936,0.77965,0.77472,0.78755,0.60427,0.72268,0.58675,1.11407,0.0005446,0.0005446,0.0005446
48,679.815,0.67573,0.52059,0.96045,0.79821,0.75873,0.8065,0.62792,0.69579,0.55404,1.09293,0.0005347,0.0005347,0.0005347
49,693.585,0.64234,0.50526,0.94656,0.80017,0.79911,0.8008,0.62159,0.70017,0.54319,1.07327,0.0005248,0.0005248,0.0005248
50,706.817,0.64035,0.49629,0.94556,0.8325,0.78074,0.80466,0.61176,0.70395,0.55465,1.08395,0.0005149,0.0005149,0.0005149
51,720.166,0.63706,0.49483,0.94354,0.79102,0.76172,0.8059,0.61412,0.7055,0.55822,1.08927,0.000505,0.000505,0.000505
52,733.375,0.63316,0.50348,0.94632,0.73478,0.78848,0.77338,0.59434,0.69843,0.58496,1.07173,0.0004951,0.0004951,0.0004951
53,746.816,0.62393,0.49571,0.95489,0.71245,0.82716,0.77992,0.60318,0.7056,0.56308,1.09176,0.0004852,0.0004852,0.0004852
54,759.97,0.62152,0.47346,0.94994,0.75316,0.83062,0.78482,0.60399,0.70581,0.56719,1.09473,0.0004753,0.0004753,0.0004753
55,773.137,0.62381,0.48159,0.94852,0.71293,0.84315,0.78573,0.61229,0.72776,0.54153,1.14317,0.0004654,0.0004654,0.0004654
56,786.416,0.61787,0.47145,0.95325,0.75544,0.80336,0.79565,0.61434,0.6951,0.52247,1.09517,0.0004555,0.0004555,0.0004555
57,799.675,0.61483,0.45955,0.93832,0.79617,0.78948,0.81413,0.62987,0.67456,0.5216,1.08748,0.0004456,0.0004456,0.0004456
58,813.654,0.59889,0.46422,0.92799,0.77536,0.83234,0.80383,0.62368,0.67331,0.51806,1.08324,0.0004357,0.0004357,0.0004357
59,830.384,0.60343,0.45511,0.9323,0.75905,0.82163,0.79947,0.63041,0.70025,0.50409,1.10693,0.0004258,0.0004258,0.0004258
60,844.028,0.58657,0.44972,0.9275,0.76934,0.82256,0.82367,0.63716,0.6764,0.52686,1.09544,0.0004159,0.0004159,0.0004159
61,857.907,0.58384,0.45148,0.91681,0.78159,0.83583,0.80934,0.62414,0.71703,0.52626,1.11969,0.000406,0.000406,0.000406
62,871.18,0.57682,0.43597,0.92543,0.77366,0.82944,0.80175,0.62386,0.71677,0.54287,1.12046,0.0003961,0.0003961,0.0003961
63,884.307,0.58963,0.44821,0.9344,0.78069,0.80101,0.81697,0.62976,0.70215,0.5483,1.12063,0.0003862,0.0003862,0.0003862
64,897.576,0.57602,0.43836,0.92954,0.75521,0.81109,0.80019,0.6179,0.69247,0.53558,1.12025,0.0003763,0.0003763,0.0003763
65,911.042,0.59283,0.44367,0.92118,0.78879,0.767,0.80146,0.61917,0.68923,0.54669,1.10182,0.0003664,0.0003664,0.0003664
66,924.097,0.56888,0.43721,0.92322,0.80306,0.7958,0.79798,0.61777,0.68038,0.51948,1.10427,0.0003565,0.0003565,0.0003565
67,937.189,0.55532,0.42938,0.91841,0.77246,0.81336,0.80297,0.62935,0.65731,0.53414,1.07856,0.0003466,0.0003466,0.0003466
68,950.39,0.54597,0.42349,0.90654,0.78736,0.82321,0.79586,0.6266,0.6543,0.49735,1.09255,0.0003367,0.0003367,0.0003367
69,963.476,0.56979,0.42756,0.9316,0.77492,0.81911,0.80297,0.63041,0.6727,0.49371,1.10307,0.0003268,0.0003268,0.0003268
70,976.899,0.544,0.41201,0.90657,0.80439,0.80632,0.82349,0.63626,0.68312,0.52013,1.09557,0.0003169,0.0003169,0.0003169
71,991.938,0.54794,0.41185,0.90926,0.82452,0.76783,0.80839,0.63435,0.66189,0.52643,1.08532,0.000307,0.000307,0.000307
72,1004.98,0.53927,0.40458,0.90874,0.84807,0.77063,0.79929,0.63542,0.67657,0.52333,1.10134,0.0002971,0.0002971,0.0002971
73,1018.39,0.53346,0.3951,0.90565,0.76154,0.81639,0.79636,0.62543,0.67479,0.52953,1.10177,0.0002872,0.0002872,0.0002872
74,1031.64,0.53787,0.40151,0.90383,0.80637,0.7733,0.80189,0.62614,0.67886,0.52772,1.10288,0.0002773,0.0002773,0.0002773
75,1044.75,0.53429,0.40571,0.90384,0.77422,0.81544,0.78517,0.61354,0.66323,0.52771,1.09147,0.0002674,0.0002674,0.0002674
76,1058,0.50849,0.38809,0.88504,0.77825,0.79639,0.78179,0.61713,0.66237,0.54086,1.1014,0.0002575,0.0002575,0.0002575
77,1071.38,0.51802,0.38639,0.89108,0.80259,0.79883,0.78888,0.61703,0.66275,0.52393,1.10035,0.0002476,0.0002476,0.0002476
78,1084.64,0.51017,0.37867,0.89797,0.81709,0.78894,0.78786,0.62207,0.67226,0.52881,1.11478,0.0002377,0.0002377,0.0002377
79,1100.81,0.49896,0.38555,0.89155,0.79083,0.8098,0.81027,0.6303,0.65139,0.525,1.09389,0.0002278,0.0002278,0.0002278
80,1114.33,0.51091,0.38434,0.90027,0.81041,0.79348,0.80344,0.63866,0.67203,0.53675,1.10992,0.0002179,0.0002179,0.0002179
81,1128.16,0.49049,0.3661,0.89018,0.80128,0.80504,0.80003,0.63437,0.66166,0.53673,1.09963,0.000208,0.000208,0.000208
82,1141.57,0.48715,0.37245,0.89222,0.80836,0.8024,0.8042,0.632,0.67036,0.5319,1.1052,0.0001981,0.0001981,0.0001981
83,1154.94,0.49315,0.37159,0.87805,0.79965,0.82122,0.80699,0.62393,0.66883,0.52574,1.11553,0.0001882,0.0001882,0.0001882
84,1168.32,0.48981,0.36318,0.88862,0.77566,0.81564,0.80742,0.62557,0.68876,0.53841,1.13042,0.0001783,0.0001783,0.0001783
85,1181.74,0.48679,0.36764,0.89092,0.79143,0.81158,0.81631,0.63697,0.65691,0.53798,1.10374,0.0001684,0.0001684,0.0001684
86,1195.1,0.47942,0.35423,0.88317,0.80601,0.79399,0.82127,0.64278,0.63688,0.52242,1.08533,0.0001585,0.0001585,0.0001585
87,1213.79,0.46489,0.34975,0.87805,0.7959,0.81257,0.8187,0.64368,0.64361,0.51754,1.08472,0.0001486,0.0001486,0.0001486
88,1227.71,0.47479,0.34564,0.8795,0.81147,0.80485,0.81226,0.64247,0.64043,0.52921,1.08427,0.0001387,0.0001387,0.0001387
89,1241.04,0.47465,0.35539,0.88407,0.80144,0.79936,0.79638,0.62831,0.6436,0.52993,1.09057,0.0001288,0.0001288,0.0001288
90,1254.4,0.46458,0.34687,0.87609,0.82169,0.79243,0.79616,0.63337,0.63391,0.51974,1.09633,0.0001189,0.0001189,0.0001189
91,1269.62,0.44186,0.32108,0.8866,0.78067,0.80215,0.80133,0.64761,0.63558,0.50822,1.09869,0.000109,0.000109,0.000109
92,1283.33,0.44287,0.33052,0.88594,0.80623,0.79831,0.80915,0.64309,0.64001,0.52319,1.09334,9.91e-05,9.91e-05,9.91e-05
93,1296.69,0.43385,0.31652,0.88842,0.78764,0.82143,0.79874,0.63552,0.64419,0.51865,1.10404,8.92e-05,8.92e-05,8.92e-05
94,1310.24,0.41077,0.29872,0.87012,0.79766,0.80731,0.80158,0.6362,0.63958,0.51428,1.10613,7.93e-05,7.93e-05,7.93e-05
95,1325.37,0.4165,0.29791,0.86816,0.80861,0.79907,0.80525,0.64355,0.63226,0.51779,1.10126,6.94e-05,6.94e-05,6.94e-05
96,1339.1,0.4174,0.2976,0.86531,0.80767,0.80668,0.81558,0.64684,0.61942,0.50229,1.09482,5.95e-05,5.95e-05,5.95e-05
97,1352.51,0.40747,0.29119,0.87332,0.80202,0.80332,0.81449,0.65009,0.6157,0.50367,1.08782,4.96e-05,4.96e-05,4.96e-05
98,1366.38,0.40488,0.29015,0.86529,0.79756,0.81017,0.81524,0.64381,0.61896,0.50058,1.09156,3.97e-05,3.97e-05,3.97e-05
99,1379.75,0.39362,0.28106,0.85855,0.80312,0.80425,0.80856,0.64393,0.61499,0.50303,1.09111,2.98e-05,2.98e-05,2.98e-05
100,1393.03,0.4032,0.28727,0.86788,0.80742,0.80257,0.80775,0.64045,0.6145,0.50492,1.09107,1.99e-05,1.99e-05,1.99e-05
